time,ghi,ghi_clear_sky,day,GHI_daily_max_clearsky,GHI_percent_wrt_max
2023-05-30 00:00:00,0.0,0.0,2023-05-30,933.5146907190144,0.0
2023-05-30 00:10:00,0.0,0.0,2023-05-30,933.5146907190144,0.0
2023-05-30 00:20:00,0.0,0.0,2023-05-30,933.5146907190144,0.0
2023-05-30 00:30:00,0.0,0.0,2023-05-30,933.5146907190144,0.0
2023-05-30 00:40:00,0.0,0.0,2023-05-30,933.5146907190144,0.0
2023-05-30 00:50:00,0.0,0.0,2023-05-30,933.5146907190144,0.0
2023-05-30 01:00:00,0.0,0.0,2023-05-30,933.5146907190144,0.0
2023-05-30 01:10:00,0.0,0.0,2023-05-30,933.5146907190144,0.0
2023-05-30 01:20:00,0.0,0.0,2023-05-30,933.5146907190144,0.0
2023-05-30 01:30:00,0.0,0.0,2023-05-30,933.5146907190144,0.0
2023-05-30 01:40:00,0.0,0.0,2023-05-30,933.5146907190144,0.0
2023-05-30 01:50:00,0.0,0.0,2023-05-30,933.5146907190144,0.0
2023-05-30 02:00:00,0.0,0.0,2023-05-30,933.5146907190144,0.0
2023-05-30 02:10:00,0.0,0.0,2023-05-30,933.5146907190144,0.0
2023-05-30 02:20:00,0.0,0.0,2023-05-30,933.5146907190144,0.0
2023-05-30 02:30:00,0.0,0.0,2023-05-30,933.5146907190144,0.0
2023-05-30 02:40:00,0.0,0.0,2023-05-30,933.5146907190144,0.0
2023-05-30 02:50:00,0.0,0.0,2023-05-30,933.5146907190144,0.0
2023-05-30 03:00:00,0.0,0.0,2023-05-30,933.5146907190144,0.0
2023-05-30 03:10:00,0.0,0.0,2023-05-30,933.5146907190144,0.0
2023-05-30 03:20:00,0.0,0.0,2023-05-30,933.5146907190144,0.0
2023-05-30 03:30:00,0.0,0.0,2023-05-30,933.5146907190144,0.0
2023-05-30 03:40:00,0.0,0.0,2023-05-30,933.5146907190144,0.0
2023-05-30 03:50:00,0.0,0.0,2023-05-30,933.5146907190144,0.0
2023-05-30 04:00:00,0.0,0.0,2023-05-30,933.5146907190144,0.0
2023-05-30 04:10:00,0.0,0.0,2023-05-30,933.5146907190144,0.0
2023-05-30 04:20:00,0.0,0.0,2023-05-30,933.5146907190144,0.0
2023-05-30 04:30:00,0.0,0.0,2023-05-30,933.5146907190144,0.0
2023-05-30 04:40:00,0.0,0.0,2023-05-30,933.5146907190144,0.0
2023-05-30 04:50:00,0.0,0.0,2023-05-30,933.5146907190144,0.0
2023-05-30 05:00:00,0.0,0.0,2023-05-30,933.5146907190144,0.0
2023-05-30 05:10:00,0.0,0.0,2023-05-30,933.5146907190144,0.0
2023-05-30 05:20:00,0.0,0.0,2023-05-30,933.5146907190144,0.0
2023-05-30 05:30:00,0.0,0.0,2023-05-30,933.5146907190144,0.0
2023-05-30 05:40:00,3.0,1.8509691991528005e-22,2023-05-30,933.5146907190144,0.3213661262994512
2023-05-30 05:50:00,8.0,1.9831525719966296,2023-05-30,933.5146907190144,0.8569763367985367
2023-05-30 06:00:00,14.0,14.720404152524353,2023-05-30,933.5146907190144,1.4997085893974391
2023-05-30 06:10:00,23.0,34.95585972109699,2023-05-30,933.5146907190144,2.463806968295793
2023-05-30 06:20:00,39.0,58.97539664091884,2023-05-30,933.5146907190144,4.177759641892866
2023-05-30 06:30:00,62.0,85.11797982552103,2023-05-30,933.5146907190144,6.641566610188659
2023-05-30 06:40:00,76.0,112.5818707892138,2023-05-30,933.5146907190144,8.141275199586099
2023-05-30 06:50:00,117.0,140.92753932552347,2023-05-30,933.5146907190144,12.5332789256786
2023-05-30 07:00:00,132.0,169.8836764145363,2023-05-30,933.5146907190144,14.140109557175856
2023-05-30 07:10:00,131.0,199.2644314774126,2023-05-30,933.5146907190144,14.032987515076035
2023-05-30 07:20:00,153.0,228.93073981718956,2023-05-30,933.5146907190144,16.389672441272015
